Code,Name,Market,SecuGroup,ListingDate,DelistingDate,Reason,Industry,ToSymbol,ToName,source
037730,3R,KOSDAQ,주권,2000-07-25,2004-04-22,자본전액잠식(취소사유발생일 : 2004년 4월 6일) ,통신장비,,,FinanceDataReader.StockListing(KRX-DELISTING)
06031012,3S R,KOSDAQ,신주인수권증서,2012-05-14,2012-05-21,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
036360,3SOFT,KOSDAQ,주권,2001-01-18,2009-04-29,감사의견거절(감사범위제한),통신장비,,,FinanceDataReader.StockListing(KRX-DELISTING)
900010,3노드디지탈,KOSDAQ,외국주권,2007-08-17,2013-06-05,상장폐지 신청('13.05.08),일반서비스,,,FinanceDataReader.StockListing(KRX-DELISTING)
038120,AD모터스,KOSDAQ,주권,2000-08-24,2013-01-30,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",운송장비·부품,,,FinanceDataReader.StockListing(KRX-DELISTING)
013340,AJS,KOSDAQ,주권,1989-09-06,2014-09-02,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),금속,,,FinanceDataReader.StockListing(KRX-DELISTING)
036820,BET,KOSDAQ,주권,1999-12-10,2005-04-21,감사범위제한 한정(상장폐지사유 발생일 : 2005년 03월 21일),통신장비,,,FinanceDataReader.StockListing(KRX-DELISTING)
036825,BET우,KOSDAQ,주권,2003-10-02,2005-04-21,감사범위제한 한정(상장폐지사유 발생일 : 2005년 03월 21일),통신장비,,,FinanceDataReader.StockListing(KRX-DELISTING)
139050,BF랩스,KOSDAQ,주권,2011-07-29,2026-05-08,감사의견 거절(감사범위 제한),IT 서비스,,,FinanceDataReader.StockListing(KRX-DELISTING)
1266001D,BGF에코머티리얼즈 12R,KOSDAQ,신주인수권증서,2023-07-21,2023-07-28,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
